amount,transaction_hour,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud,is_night,log_amount,merchant_category_Electronics,merchant_category_Food,merchant_category_Grocery,merchant_category_Travel
84.47,22,0,0,66,3,40,0,1,4.448165437177926,True,False,False,False
541.82,3,1,0,87,1,64,0,1,6.296777773265705,False,False,False,True
237.01,17,0,0,49,1,61,0,0,5.472312689595516,False,False,True,False
164.33,4,0,1,72,3,34,0,1,5.107943476563253,False,False,True,False
30.53,15,0,0,79,0,44,0,0,3.4509394735569696,False,True,False,False
30.53,13,0,0,90,2,46,0,0,3.4509394735569696,False,False,False,False
10.77,18,0,0,48,1,28,0,0,2.4655539212721855,False,False,False,True
362.02,13,0,0,68,1,40,0,0,5.8944579291658314,True,False,False,False
165.43,8,0,0,80,0,21,0,0,5.114574800598636,False,False,True,False
221.63,5,0,0,59,1,34,0,0,5.405511200650152,False,False,True,False
3.74,16,0,0,58,2,28,0,0,1.556037135706985,False,False,True,False
630.64,18,0,0,30,4,25,0,0,6.448319611598443,False,False,False,False
321.56,11,0,0,73,4,68,0,0,5.776289165442949,False,False,False,False
42.96,3,0,0,40,2,43,0,1,3.7832801295354206,False,False,False,True
36.12,15,0,0,37,2,69,0,0,3.6141559079179997,True,False,False,False
36.47,10,0,0,36,2,66,0,0,3.623540612805596,False,False,False,False
65.3,21,0,0,35,1,25,0,0,4.194189897191817,False,True,False,False
133.91,3,0,0,71,2,25,0,1,4.904607889450726,False,False,False,False
101.8,16,1,0,84,3,24,0,0,4.632785353021065,False,False,True,False
61.96,7,0,0,73,2,68,0,0,4.1424996041091475,True,False,False,False
170.35,13,0,0,76,4,51,0,0,5.143708248320618,False,False,False,True
27.04,1,0,0,85,1,49,0,1,3.3336320621663895,False,False,False,False
62.19,10,0,0,64,2,30,0,0,4.146146060785364,False,False,True,False
82.13,10,0,0,95,2,53,0,0,4.420405647542997,False,True,False,False
109.61,23,0,0,99,2,35,0,1,4.706010500914163,False,True,False,False
276.83,21,1,0,77,3,30,0,0,5.627009415850288,False,False,False,True
40.09,23,0,0,85,1,47,0,1,3.7157647828953184,False,False,False,True
129.97,5,0,0,46,1,18,0,0,4.874968289341312,False,False,False,False
161.55,20,0,0,62,3,52,0,0,5.090985646749915,False,False,False,True
8.56,20,0,0,85,1,20,0,0,2.25758772706331,False,False,True,False
168.36,13,0,0,71,2,47,0,0,5.13202662682661,False,False,True,False
33.65,9,0,0,51,2,65,0,0,3.5452977256359124,False,False,True,False
12.11,7,0,0,42,3,42,0,0,2.5733752977756086,False,False,False,False
535.26,6,0,0,44,7,50,0,0,6.284619118087003,False,False,False,False
606.71,7,0,0,66,5,33,0,0,6.409697794493825,False,False,False,True
297.42,7,0,0,65,2,66,0,0,5.698501890212276,False,False,False,False
65.39,22,0,0,96,1,20,0,1,4.195546442731068,False,False,True,False
18.5,1,0,0,82,2,64,0,1,2.970414465569701,True,False,False,False
207.5,15,0,0,64,1,46,0,0,5.339939041238856,False,False,True,False
104.42,8,0,0,99,1,31,0,0,4.6579523714270605,True,False,False,False
23.43,12,0,0,54,1,60,0,0,3.195811885269649,False,False,False,True
123.04,22,0,1,36,3,62,0,1,4.820604094232248,False,True,False,False
6.3,11,0,0,86,3,22,0,0,1.9878743481543455,False,False,False,False
432.08,21,0,1,86,0,61,0,0,6.0709224684426975,False,False,False,False
53.9,16,0,0,94,2,34,0,0,4.005513348515485,False,False,True,False
195.53,1,0,0,39,3,46,0,1,5.2808150914118945,False,False,True,False
67.24,12,0,0,31,3,38,0,0,4.223030903183424,True,False,False,False
132.14,0,0,0,30,2,23,0,1,4.891401206172557,False,False,False,False
142.42,18,0,1,51,2,41,0,0,4.965777388454429,False,False,False,True
36.79,10,0,0,26,1,66,0,0,3.6320445173613978,False,False,True,False
628.71,4,0,0,30,4,45,0,1,6.445259395946655,False,False,False,False
268.6,0,0,0,85,1,34,0,1,5.596939379038152,False,True,False,False
504.92,19,0,0,56,1,59,0,0,6.226378554021108,True,False,False,False
405.39,12,0,0,53,0,39,0,0,6.00731328966232,False,False,True,False
163.99,7,0,0,89,2,41,0,0,5.105884866003353,False,False,True,False
458.9,5,0,0,39,1,57,0,0,6.1310090745458785,False,False,False,True
16.68,16,0,0,34,1,35,0,0,2.8724340572094973,False,False,True,False
39.26,11,1,1,34,3,45,1,0,3.695358420211645,False,False,False,False
8.33,0,0,0,34,2,27,0,1,2.2332350148592526,False,False,False,False
70.84,2,0,0,61,4,18,0,1,4.274441423993944,False,False,False,False
88.58,13,0,0,56,0,54,0,0,4.495132080779154,False,True,False,False
56.98,7,1,0,60,2,43,0,0,4.06009812349351,False,True,False,False
317.62,10,0,0,88,1,67,0,0,5.763999170144749,False,False,True,False
79.42,13,0,0,39,3,43,0,0,4.387262901469128,False,True,False,False
59.36,7,0,0,97,1,50,0,0,4.100326633899648,False,True,False,False
140.83,2,0,0,40,2,26,0,1,4.954629157306516,False,False,False,True
27.34,6,0,0,70,2,35,0,0,3.3442742342625342,False,True,False,False
291.69,18,1,1,68,1,22,0,0,5.679114028440487,True,False,False,False
13.95,3,0,0,59,1,39,0,1,2.7047112998366956,True,False,False,False
780.15,15,0,0,75,3,27,0,0,6.660767192857912,True,False,False,False
266.31,12,0,0,82,2,31,0,0,5.588409033593616,False,False,True,False
39.88,19,0,0,29,1,29,0,0,3.7106409458954492,False,False,False,False
1.0,18,0,1,62,2,49,0,0,0.6931471805599453,False,False,False,True
304.18,4,0,0,30,1,56,0,1,5.72090176646359,False,False,True,False
220.88,22,0,1,75,1,62,0,1,5.402136695187034,False,False,False,False
235.02,4,0,1,38,2,53,0,1,5.463916547197603,False,False,False,True
265.54,19,0,0,72,0,68,0,0,5.585524326151581,False,False,False,True
13.85,23,0,0,36,4,67,0,1,2.6979998652487085,False,False,False,True
79.9,3,0,0,76,4,64,0,1,4.393213824064446,True,False,False,False
22.17,1,0,0,92,1,32,0,1,3.142858338444285,True,False,False,False
357.94,12,0,0,83,3,50,0,0,5.883155243601131,True,False,False,False
175.73,15,0,1,42,0,33,0,0,5.174623144201705,False,False,False,True
72.33,21,1,0,77,1,21,0,0,4.294969802105708,False,False,False,True
